instrument,timeframe,date_analysis,direction,wave_current,wave_next,wave_degree,pattern,confirmation_level,invalidation_level,fib_target_1,fib_target_2,fib_618,fib_382,fib_786,scenario,has_alternative,current_price_approx,notes,page,source_file,result,exit_price,candles_elapsed,symbol_td,sl_pips,rr_ratio,fib_50,fib_500,profit_target_pips,target_price,invalidation_level_78.60,invalidation_level_61.80,fib_618_full,price_target,target_percentage,fib_ratios,direction_option2,direction_option3,scenario_option2,scenario_option3,option2_key_level,option2_constraint,option3_risk,date_target
EUR/USD,4h,2022-07-19,sell,4,5,intermediate,impulse,1.01,1.03887,1.04605,1.0207,1.02668,0.99534,,main,True,1.03887,"Confirmation level to sell at 1.01000, wave 5 projected downward to 0.98000",2,2022.07.19T08-34-42.pdf,win,1.04605,10.0,C:EURUSD,288.7,1.25,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-19,buy,iv,v,intermediate,ending_diagonal,1.20324,1.178,1.20324,,1.18965,1.18645,,ending_diagonal,True,1.193,"Triangle pattern near completion. Do not rush to buy, wait for correction outside the diagonal. Similar situation to AUD/USD",3,2022.07.19T08-34-42.pdf,win,1.20324,2.0,C:GBPUSD,252.4,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-07-19,buy,ii,iii,intermediate,impulse,1.27886,1.27329,,,,,,expanded_flat,True,1.27329,"Expanded flat scenario labeled, 0.00% and 50.00% retracement levels marked, wave 1 with subdivisions (i,ii,iii,iv,v) shown",4,2022.07.19T08-34-42.pdf,loss,1.27329,11.0,C:USDCAD,55.7,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-07-19,buy,4,5,intermediate,impulse,1.0004,0.9456,1.0004,,0.9643,0.98835,,main,True,0.97383,Completed 1st wave and correction to 50-61% Fibo. Projection shows wave 5 target above 1.00,5,2022.07.19T08-34-42.pdf,loss,0.95483,45.0,C:USDCHF,548.0,,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-07-19,buy,4,5,intermediate,impulse,,136.463,,,,,,main,False,138.5,"The bullish trend is very strong and lasts a long time, so will stick to the bullish scenario as long as the Market is in an uptrend channel",6,2022.07.19T08-34-42.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-18,sell,b,c,intermediate,corrective,,,,,,,,main,True,0.69,"Post-wave (x) correction, wave Y in progress",1,2022.07.18T09-59-54.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-07-18,buy,4,5,intermediate,diagonal,0.73,0.673,,,,,,ending_diagonal,True,0.68801,"Ending diagonal scenario - downtrend ending, market waiting for reversal or correction. Short positions should be closed before correction outside diagonal.",2,2022.07.18T09-59-54.pdf,win,0.6903,45.0,C:AUDUSD,570.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-18,sell,4,5,intermediate,impulse,,1.02867,1.04675,1.02098,1.0149,0.99521,,main,True,1.029,Elliott Wave Count - Impulse pattern with wave 5 projection downward,3,2022.07.18T09-59-54.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-18,sell,c,,,impulse,,,,,,,,main,True,1.19,"Downtrend continuation, wave Y completing, multiple wave degrees shown (3-5, X, W-X-Y structure)",4,2022.07.18T09-59-54.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-18,buy,iv,v,intermediate,impulse,1.203,1.176,,,,,,ending_diagonal,True,1.20676,"Elliott triangle pattern, ending diagonal scenario, correction outside diagonal expected before continuation",5,2022.07.18T09-59-54.pdf,loss,1.176,34.0,C:GBPUSD,270.0,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-07-18,buy,2,3,intermediate,impulse,,,,,,,,main,True,1.31,Elliott Wave Count showing impulse structure with multiple degrees marked (primary and intermediate waves visible),6,2022.07.18T09-59-54.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-15,sell,4,5,intermediate,impulse,0.68742,0.68926,,,,,,main,True,0.6795,"Downtrend continuation, wave 5 target below current support level",1,2022.07.15T07-53-33.pdf,loss,0.68926,6.0,C:AUDUSD,18.4,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-15,sell,4,5,intermediate,impulse,1.01922,1.01348,,,,,,main,False,1.015,"Downward impulse wave (5) projected, double invalidation levels marked",2,2022.07.15T07-53-33.pdf,loss,1.01348,4.0,C:EURUSD,57.4,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-15,sell,4,5,intermediate,impulse,1.20689,1.19655,,,,,,main,False,1.20008,Wave 5 projected downward with invalidation levels marked at 1.20689 and 1.19655,3,2022.07.15T07-53-33.pdf,loss,1.19655,12.0,C:GBPUSD,103.4,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-07-15,buy,1,2,intermediate,impulse,1.34,1.29,,,,,,main,True,1.295,"Invalidation level marked at 1.29000, wave count shows impulse structure with triangle consolidation",4,2022.07.15T07-53-33.pdf,loss,1.28693,45.0,C:USDCAD,500.0,,,,,,,,,,,,,,,,,,,
USD/CHF,8H,2022-07-15,buy,4,5,intermediate,impulse,1.005,0.9466,,,,,,main,True,0.98325,"Wave 5 projection underway, invalidation level marked at 0.94660",5,2022.07.15T07-53-33.pdf,loss,0.95403,45.0,C:USDCHF,584.0,,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-07-15,buy,4,5,intermediate,impulse,136.862,135.328,,,,,,main,True,139.5,"Wave 5 in progress, invalidation levels marked at 136.862 and 135.328",6,2022.07.15T07-53-33.pdf,loss,135.328,14.0,C:USDJPY,153.4,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-14,sell,4,5,intermediate,impulse,,0.68742,,,,,,main,False,0.67527,"Downtrend continuation, wave 5 projected downward to target",1,2022.07.14T08-10-34.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-14,sell,4,5,primary,impulse,,1.01922,,,,,,main,True,1.01623,"Invalidation marked at 1.01922, wave 5 projected downward to 0.98500",2,2022.07.14T08-10-34.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-14,sell,4,5,primary,impulse,1.222,1.20269,,,,,,main,False,1.2176,"Downtrend continuation expected, wave 5 projected lower",3,2022.07.14T08-10-34.pdf,loss,1.20269,17.0,C:GBPUSD,193.1,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-07-14,buy,3,5,intermediate,impulse,1.296,1.29,,,,,,main,True,1.295,"Elliott Wave Count - Wave (3) in progress, invalidation zone marked at 1.29000",4,2022.07.14T08-10-34.pdf,loss,1.29,6.0,C:USDCAD,60.0,,,,,,,,,,,,,,,,,,,
USD/CHF,4H,2022-07-14,buy,4,5,intermediate,impulse,1.025,0.945,,,,,,main,False,0.985,Invalidation level marked at 0.94500,5,2022.07.14T08-10-34.pdf,loss,0.96121,45.0,C:USDCHF,800.0,,,,,,,,,,,,,,,,,,,
USD/JPY,4h,2022-07-14,buy,5,,,impulse,136.48,135.333,,,,,,main,True,142.16,Elliott Wave Count showing impulse wave structure with validation at 136.480 and invalidation at 135.333,6,2022.07.14T08-10-34.pdf,loss,135.333,15.0,C:USDJPY,114.7,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-13,sell,a,b,primary,corrective,,,,,,,,main,True,0.6815,"Impulse wave 5 completed, correction (W) ongoing with wave C(Y) projection downward",1,2022.07.13T08-10-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-07-13,sell,4,5,intermediate,impulse,,0.68782,,,,,,main,False,0.68757,"Lower boundary of channel reached (goal), potential for future decline, recommend keeping short positions with stop even lower, take profits if in doubt",2,2022.07.13T08-10-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2022-07-13,sell,4,5,intermediate,impulse,,1.01924,,,,,,main,True,1.01852,"Wave 5 projected downward to approximately 0.99000, invalidation marked at 1.01924",3,2022.07.13T08-10-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4H,2022-07-13,sell,4,5,primary,impulse,,1.01922,,,,,,main,False,1.01922,"Invalidation level marked at 1.01922, wave (5) projected downward to 0.98000",4,2022.07.13T08-10-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-13,sell,4,5,intermediate,impulse,1.22,1.20569,,,,,,main,False,1.20724,Invalidation levels shown; downtrend continuation expected to wave 5,5,2022.07.13T08-10-32.pdf,loss,1.20569,18.0,C:GBPUSD,143.1,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-07-13,buy,ii,iii,intermediate,impulse,,,,,,,,main,True,1.313,"Wave (Y) forming with impulse structure, wave iii projected upward",6,2022.07.13T08-10-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-12,sell,c,,intermediate,corrective,,,,,,,,main,True,0.6745,"Wave Y completing, downtrend continuation in progress",1,2022.07.12T11-29-23.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-12,sell,4,5,intermediate,impulse,0.68759,0.681,0.67705,,,,,main,True,0.68759,"Lower boundary of channel reached. Keep short positions, move stop lower. Take profits if doubts arise.",2,2022.07.12T11-29-23.pdf,loss,0.681,9.0,C:AUDUSD,65.9,1.6,,,,,,,,,,,,,,,,,,
EUR/USD,8H,2022-07-12,sell,5,5,intermediate,impulse,,1.04,,,,,,main,False,0.982,"Wave (5) in progress, invalidation marked at 1.04000, downtrend continuation expected",3,2022.07.12T11-29-23.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-12,sell,4,5,primary,impulse,1.0484,1.01922,,,,,,main,True,1.045,"Wave 5 projected downward to 0.9980 level, invalidation zones marked at 1.04840 and 1.01922",4,2022.07.12T11-29-23.pdf,loss,1.01563,45.0,C:EURUSD,291.8,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-12,sell,4,5,intermediate,impulse,1.21724,1.20665,,,,,,main,True,1.20892,"Elliott Wave Count with triangle pattern completing, invalidation levels marked",5,2022.07.12T11-29-23.pdf,loss,1.20665,17.0,C:GBPUSD,105.9,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-07-12,buy,ii,iii,intermediate,impulse,,,,,,,,main,True,1.312,"Elliott Wave Count in progress, wave (Y) forming with sub-waves i-ii-iii labeled",6,2022.07.12T11-29-23.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-11,sell,c,a,primary,zigzag,,,,,,,,main,True,0.674,"Completing wave (Y) with downward projection, lower lows expected",1,2022.07.11T08-39-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-07-11,sell,4,5,intermediate,impulse,0.6984,0.68752,0.688,0.68,,,,main,True,0.681,"Downtrend wave 5 projected, invalidation levels marked at 0.69840 and 0.68752",2,2022.07.11T08-39-32.pdf,loss,0.68752,18.0,C:AUDUSD,108.8,0.96,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2022-07-11,sell,4,5,intermediate,impulse,1.049,1.06,,,,,,main,True,1.04,"Invalidation marked at 1.05400, wave 5 projected downward",3,2022.07.11T08-39-32.pdf,loss,1.02626,45.0,C:EURUSD,110.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-11,sell,4,5,intermediate,impulse,,1.039,,,,,,main,False,1.028,"Wave (5) projected downward, invalidation level at 1.03900",4,2022.07.11T08-39-32.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-11,sell,5,,primary,impulse,1.20207,1.42486,1.14341,,,,,main,True,1.205,"Impulse wave pattern complete, downtrend from wave 1-5 structure",5,2022.07.11T08-39-32.pdf,pending,,45.0,C:GBPUSD,2227.9,0.26,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-11,sell,4,5,intermediate,impulse,1.24047,1.22,1.21,1.1575,1.20207,,,main,True,1.20676,"Triangle pattern completing, invalidation levels marked, wave 5 (c) projected downward",6,2022.07.11T08-39-32.pdf,loss,1.21674,45.0,C:GBPUSD,204.7,1.49,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-08,sell,5,,primary,impulse,,,,,,,,main,True,0.6768,"Wave 5 complete, price declining toward support levels",1,2022.07.08T08-00-49.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-07-08,sell,5,,intermediate,impulse,,0.68037,,,,,,main,False,0.6745,"Wave 5 (Y) completed, invalidation levels marked at 0.68037 and 0.67848",2,2022.07.08T08-00-49.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8H,2022-07-08,sell,4,5,intermediate,impulse,1.049,1.069,,,,,,main,True,1.045,"Wave 5 projected downward, invalidation levels marked at 1.06900 and 1.04900",3,2022.07.08T08-00-49.pdf,loss,1.02264,45.0,C:EURUSD,200.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-08,sell,4,5,intermediate,impulse,1.04625,1.0488,,,,,,main,True,1.043,Elliott Wave Count (3) shows impulsive downtrend with invalidation levels marked at 1.04625 and 1.04880,4,2022.07.08T08-00-49.pdf,loss,1.02264,45.0,C:EURUSD,25.5,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-08,sell,3,5,primary,impulse,,,1.20207,1.14141,,,,main,True,1.20207,"Five-wave decline structure, lower lows expected",5,2022.07.08T08-00-49.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-08,sell,4,5,intermediate,impulse,1.24047,1.22,1.20207,,0.7866,,,main,True,1.23,"Triangle pattern completed, wave 5 projection downward, invalidation levels marked",6,2022.07.08T08-00-49.pdf,loss,1.21615,45.0,C:GBPUSD,204.7,1.88,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-07,sell,c,,intermediate,corrective,,,,,,,,main,True,0.674,"Wave Y completing downtrend, bearish structure after corrective wave X",1,2022.07.07T09-51-21.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-07,sell,3,4,intermediate,impulse,0.6864,0.69937,,,,,,main,True,0.6764,"Downtrend structure with Elliott Wave count, invalidation levels marked",2,2022.07.07T09-51-21.pdf,loss,0.69937,21.0,C:AUDUSD,129.7,,,,,,,,,,,,,,,,,,,
EUR/USD,8H,2022-07-07,sell,4,5,primary,impulse,1.06167,1.06825,,,,,,main,True,1.05,"Wave 5 projected downward, invalidation levels marked at 1.06825 and 1.06167",3,2022.07.07T09-51-21.pdf,loss,1.0191,45.0,C:EURUSD,65.8,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-07,sell,4,5,intermediate,impulse,1.04825,1.061,,,,,,main,True,1.021,"Elliott Wave Count (1)(2)(3)(4)(5) - Invalidation levels marked, downtrend continuation expected to 1.00500",4,2022.07.07T09-51-21.pdf,loss,1.0191,45.0,C:EURUSD,127.5,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-07,sell,5,,primary,impulse,1.20209,,,,,,,main,True,1.20676,"Wave 5 (c) completed, downtrend established from 1.43488 high",5,2022.07.07T09-51-21.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-07,sell,3,5,intermediate,impulse,1.24047,1.27,,,,,,main,False,1.20676,"Triangle pattern completing, invalidation levels marked at 1.24047 and 1.27000",6,2022.07.07T09-51-21.pdf,loss,1.2034,45.0,C:GBPUSD,295.3,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-06,sell,5,a,primary,impulse,,,,,,,,main,True,0.673,"Wave (X) completed at 0.7650, Wave (Y) in progress with impulsive downtrend, price at extreme low",1,2022.07.06T07-43-47.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-06,sell,4,5,intermediate,impulse,0.69048,0.68831,,,,,,main,True,0.674,"Downtrend continuation, wave 5 projected lower",2,2022.07.06T07-43-47.pdf,loss,0.68831,15.0,C:AUDUSD,21.7,,,,,,,,,,,,,,,,,,,
EUR/USD,8H,2022-07-06,sell,c,5,intermediate,impulse,1.06162,1.0656,,,,,,main,True,1.063,"Invalidation levels marked, wave pattern in correction phase (2)",3,2022.07.06T07-43-47.pdf,loss,1.02052,45.0,C:EURUSD,39.8,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-06,sell,4,5,primary,impulse,1.06,1.0485,,,,,,main,True,1.028,"Elliott Wave Count showing completion of wave 4, wave 5 projected downward to 1.00900",4,2022.07.06T07-43-47.pdf,loss,1.02052,45.0,C:EURUSD,115.0,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-06,sell,3,,primary,impulse,1.20209,1.42488,1.41943,,,,,main,True,1.2,"Downtrend continuation, Elliott Wave 5 completed, retracement wave (a) in progress",5,2022.07.06T07-43-47.pdf,win,1.41943,3.0,C:GBPUSD,2227.9,0.98,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-06,sell,4,5,intermediate,impulse,1.24047,1.22,,,,,,main,True,1.22676,"Triangle pattern identified, wave (2) complete, invalidation levels marked at 1.24047 and 1.22000, Fibonacci level 78.60% at 1.20209",6,2022.07.06T07-43-47.pdf,loss,1.2054,45.0,C:GBPUSD,204.7,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-05,sell,c,,intermediate,zigzag,,,,,,,,main,True,0.676,"Wave (Y) descending, price at lower support levels",1,2022.07.05T08-17-40.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-05,sell,3,C,primary,zigzag,0.691,0.6964,,,,,,main,True,0.6765,"Invalidation level marked at 0.69640, downward trend continuation",2,2022.07.05T08-17-40.pdf,loss,0.6964,18.0,C:AUDUSD,54.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-05,sell,4,5,intermediate,impulse,1.07538,1.08,,,,,,main,True,1.0635,"Downward impulse wave (5) projected, invalidation levels marked at 1.08000 and 1.06147",3,2022.07.05T08-17-40.pdf,win,1.01287,45.0,C:EURUSD,46.2,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-05,sell,3,4,primary,impulse,1.4249,1.2021,,,,,,main,True,1.2021,"Bearish Elliott Wave pattern, Wave 5 completed, downtrend in progress",4,2022.07.05T08-17-40.pdf,loss,1.1983,45.0,C:GBPUSD,2228.0,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-05,sell,5,,,impulse,,1.24047,,1.20209,,,,main,False,1.18,"Elliott Wave Count with Triangle pattern at top, multiple waves labeled, invalidation level marked at 1.24047",5,2022.07.05T08-17-40.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-07-05,buy,ii,iii,primary,impulse,,,,,,,,main,True,1.3235,"Elliott Wave Count - Y wave structure (c) completing, impulse wave i projected upward",6,2022.07.05T08-17-40.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-04,sell,4,5,intermediate,impulse,,,,,,,,main,True,0.685,"Elliott Wave Count shows completion of wave (X) at 0.77800, wave 5 projected downward toward 0.67600 level",1,2022.07.04T09-06-06.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-07-04,sell,4,5,primary,impulse,,0.6984,,,,,,main,True,0.688,"Downtrend continuation, invalidation level at 0.69840",2,2022.07.04T09-06-06.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8H,2022-07-04,sell,4,5,intermediate,impulse,1.0783,1.06162,,,,,,main,True,1.07,"Invalidation levels marked, wave 5 projected downward to approximately 1.01000",3,2022.07.04T09-06-06.pdf,win,1.02232,45.0,C:EURUSD,166.8,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-04,sell,4,5,intermediate,impulse,1.07588,1.066,,,,,,main,True,1.075,"Wave 5 downward projected, invalidation levels marked, triangle pattern completion",4,2022.07.04T09-06-06.pdf,win,1.02232,45.0,C:EURUSD,98.8,,,,,,,,,,,,,,,,,,,
GBP/USD,1D,2022-07-04,sell,3,5,primary,impulse,1.4249,1.2021,,,,,,main,True,1.20676,"Downtrend continuation, wave 5 projected lower",5,2022.07.04T09-06-06.pdf,win,1.2003,45.0,C:GBPUSD,2228.0,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-04,sell,4,5,intermediate,impulse,1.24031,1.24031,,,,1.20609,,main,True,1.204,"Wave 5 (C) in progress, bearish impulse structure, triangle pattern completed at May resistance",6,2022.07.04T09-06-06.pdf,win,1.2003,45.0,C:GBPUSD,0.0,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-07-01,sell,c,,intermediate,corrective,,,,,,,,main,True,0.684,"Wave (Y) in progress, bearish outlook within corrective pattern",1,2022.07.01T08-16-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-07-01,sell,b,c,intermediate,zigzag,,,,,,,,main,False,0.68283,Wave C (Y) projected downward to approximately 0.66600,2,2022.07.01T08-16-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2022-07-01,sell,(W),(5),intermediate,impulse,1.08,1.08,1.02,,1.06159,,,main,False,1.0348,"61.80% Fibonacci retracement at 1.06159, wave (5) projected downward to 1.02000",3,2022.07.01T08-16-50.pdf,win,1.0212,45.0,C:EURUSD,0.0,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-07-01,sell,4,5,intermediate,impulse,,1.0733,1.06159,,0.618,,,main,True,1.048,"Triangle pattern completing, target invalidation at 1.07330, wave 5 projected downward",4,2022.07.01T08-16-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-07-01,sell,4,5,intermediate,impulse,1.24078,1.24078,,,,,,main,False,1.221,Wave 5 projected downward with invalidation level at 1.24078,5,2022.07.01T08-16-50.pdf,win,1.19939,45.0,C:GBPUSD,0.0,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-07-01,buy,ii,iii,primary,impulse,,,,,,,,main,True,1.345,"Wave Y (primary degree) in progress, impulse structure with subwaves labeled",6,2022.07.01T08-16-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-06-30,sell,5,a,primary,impulse,,,,,,,,main,True,0.685,"Wave 5 completed at ~0.77, downtrend in progress, corrective wave (a) developing",1,2022.06.30T07-51-05.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-06-30,sell,b,c,intermediate,zigzag,,,,,,,,main,True,0.68821,"Wave (c) projected downward, completing zigzag pattern within larger correction",2,2022.06.30T07-51-05.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8H,2022-06-30,sell,4,5,intermediate,impulse,,1.07738,,,,,,main,True,1.06159,"Triangle pattern completing, projection to wave 5 downward, invalidation level at 1.07738",3,2022.06.30T07-51-05.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-06-30,sell,4,5,,impulse,,1.07588,,1.015,1.06159,,,main,False,1.0348,"61.80% retracement at 1.06159, invalidation marked at 1.07588",4,2022.06.30T07-51-05.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-06-30,sell,4,5,intermediate,impulse,,1.24079,,,,,,main,False,1.206,"Triangle pattern completed, Wave 5 (c) projected downward to approximately 1.16000",5,2022.06.30T07-51-05.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-06-30,buy,ii,iii,primary,impulse,,,,,,,,main,True,1.324,"Wave Y structure complete, wave (Y) projecting upward to new highs",6,2022.06.30T07-51-05.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-06-29,buy,4,5,intermediate,impulse,0.75,0.702,0.77,0.785,,,,main,True,0.677,"Wave (X) complete, five-wave cycle (Y) developing with impulse wave 3-4-5 structure",1,2022.06.29T08-08-50.pdf,win,0.68953,45.0,C:AUDUSD,480.0,0.42,,,,,,,,,,,,,,,,,,
AUD/USD,4H,2022-06-29,sell,5,a,primary,impulse,,,,,,,,main,True,0.68283,"Wave 5 completed, corrective wave (a) projected downward",2,2022.06.29T08-08-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-06-29,sell,4,5,intermediate,impulse,,1.0753,,,1.06159,,,main,True,1.0349,"61.80% retracement at 1.06159, invalidation at 1.07530",3,2022.06.29T08-08-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-06-29,sell,4,5,intermediate,impulse,,1.2407,,,,,,main,False,1.2407,"Triangle pattern completed, impulse wave (5) projecting downward to 1.17800",4,2022.06.29T08-08-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-06-29,buy,Y,,intermediate,impulse,,,,,,,,main,True,1.34,Elliott Wave analysis showing completion of wave W and initiation of wave Y in uptrend,5,2022.06.29T08-08-50.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-06-29,buy,2,3,intermediate,impulse,1.273,1.272,,,,,,main,True,1.2732,Wave (3) projected upward with invalidation level marked at 1.27200,6,2022.06.29T08-08-50.pdf,loss,1.272,43.0,C:USDCAD,10.0,,,,,,,,,,,,,,,,,,,
AUD/USD,1D,2022-06-28,buy,4,5,primary,impulse,0.73228,0.7,0.77,0.81,,,,main,True,0.689,"Elliott Wave cycle (X)(Y) complete, new impulse (3)(4)(5) in progress, blue trendline support at wave 4",1,2022.06.28T09-23-42.pdf,loss,0.6808,45.0,C:AUDUSD,322.8,1.17,,,,,,,,,,,,,,,,,,
AUD/USD,4h,2022-06-28,sell,5,C,intermediate,zigzag,,,,,,,,main,True,0.68251,"Wave (Y) descending, completing zigzag pattern with wave C projection downward",2,2022.06.28T09-23-42.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,4h,2022-06-28,sell,4,5,intermediate,impulse,,1.07245,,,1.06159,,,main,True,1.063,"Wave (5) projected downward, invalidation at 1.07245, 61.8% Fibonacci level at 1.06159",3,2022.06.28T09-23-42.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
GBP/USD,4h,2022-06-28,sell,4,5,intermediate,impulse,,1.24076,,,,,,main,False,1.23,"Wave 5 projected downward, invalidation level at 1.24076",4,2022.06.28T09-23-42.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2022-06-28,buy,iii,iv,intermediate,impulse,,,,,,,,main,True,1.334,"Wave (Y) in progress, projected upward to complete wave iii",5,2022.06.28T09-23-42.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,4h,2022-06-28,buy,2,3,intermediate,impulse,1.27983,1.27322,1.28645,1.25181,0.618,0.382,,main,False,1.27322,"Elliott Wave Count with targets at 38.20%, 50.00%, 61.80%, and 100.00% Fibonacci levels",6,2022.06.28T09-23-42.pdf,win,1.28645,5.0,C:USDCAD,66.1,1.0,,,,,,,,,,,,,,,,,,
